,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_7,attribute_8,attribute_9,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,attribute_18,attribute_19,attribute_20,attribute_21,attribute_22,attribute_23,attribute_24,attribute_25,attribute_26,attribute_27,attribute_28,attribute_29,attribute_30,attribute_31,attribute_32,attribute_33,attribute_34,attribute_35,attribute_36,attribute_37,attribute_38,attribute_39,attribute_40,attribute_41,attribute_42,attribute_43,attribute_44,attribute_45,attribute_46,attribute_47,attribute_48,attribute_49,attribute_50,attribute_51,attribute_52,attribute_53,attribute_54,attribute_55,attribute_56,attribute_57,attribute_58,attribute_59,attribute_60,Class
10,4,3,2,1,2,0,1,3,0,1,2,2,1,2,1,2,2,0,2,2,1,1,1,4,2,2,0,2,0,2,2,4,2,0,2,2,0,1,1,1,4,2,2,4,0,4,1,1,1,4,2,1,4,2,1,1,0,2,4,1,0
11,0,0,2,1,3,2,0,2,0,2,3,2,2,0,1,1,1,3,2,4,1,0,0,1,4,4,1,0,0,2,2,4,2,0,2,1,1,0,1,1,0,2,4,1,2,2,2,4,2,2,2,2,0,2,2,2,4,2,0,2,0
12,3,3,0,0,2,0,3,2,1,3,2,2,0,2,2,0,2,0,0,0,1,1,1,4,2,2,2,0,0,2,2,4,0,2,2,1,4,1,4,2,2,4,2,0,1,1,0,2,2,0,1,0,0,2,2,2,0,2,2,2,0
13,0,0,2,1,3,2,1,0,3,2,3,2,2,0,3,1,1,3,2,0,2,0,0,1,4,4,1,0,2,2,2,4,2,0,2,5,0,1,0,2,2,0,2,0,4,2,4,4,4,1,0,2,1,1,1,4,2,4,4,2,0
14,3,3,0,0,2,0,3,2,3,3,2,2,0,2,2,0,2,0,0,0,1,1,1,4,2,2,2,0,0,2,2,4,0,2,2,1,4,1,4,2,2,4,2,0,1,1,0,2,2,0,1,0,0,2,2,2,0,2,2,2,0
16,3,3,1,0,1,1,0,1,1,0,1,3,2,0,1,1,3,2,2,2,0,1,0,2,4,2,0,0,4,1,2,4,0,0,2,5,0,4,2,1,1,4,4,4,1,0,1,4,2,1,2,0,2,2,2,2,4,4,1,4,0
17,4,4,2,1,3,1,3,2,2,3,2,0,0,4,3,0,1,0,4,1,4,4,1,4,4,4,0,0,0,2,2,4,0,0,2,2,4,4,2,1,4,1,0,0,1,1,0,2,1,1,4,2,0,2,1,4,2,4,4,4,0
18,1,0,1,1,0,0,2,3,3,1,1,3,2,2,0,0,0,0,4,2,0,0,2,0,1,0,2,0,0,2,2,4,2,0,5,5,1,1,1,1,0,0,1,1,4,2,0,2,2,2,4,2,0,1,1,0,0,2,0,0,0
19,0,1,0,2,0,2,2,0,2,2,1,0,1,1,1,1,3,2,0,0,2,1,4,1,4,1,1,0,0,2,2,4,2,0,2,0,4,1,0,1,1,1,4,2,0,1,2,0,1,1,4,4,2,4,4,2,1,0,1,1,0
20,3,4,2,1,1,1,0,3,1,0,1,1,0,0,1,2,1,1,0,1,1,1,4,2,2,0,1,1,2,2,2,4,2,0,2,5,2,1,1,4,2,2,2,1,4,0,2,1,1,1,4,2,4,1,1,4,2,0,2,1,0
21,1,0,1,2,0,3,1,3,3,3,1,3,1,0,2,0,2,0,2,4,0,1,1,0,2,0,1,1,1,2,2,4,2,0,2,0,2,1,1,1,1,1,0,4,4,1,1,0,0,4,2,1,0,1,1,1,1,1,2,0,0
22,0,3,1,2,2,2,0,2,0,0,3,2,2,2,0,1,1,2,4,1,4,1,1,0,2,0,4,0,1,2,2,4,2,0,2,2,2,1,1,0,2,1,1,1,4,1,0,2,2,1,0,2,2,0,2,2,2,4,4,1,0
23,0,4,2,0,2,0,0,2,0,0,1,3,2,2,2,2,2,1,4,2,4,1,4,4,4,1,4,0,4,2,2,4,0,2,2,1,0,4,2,1,4,4,0,2,1,0,2,1,1,1,1,0,0,0,1,4,1,0,4,2,0
24,4,1,0,2,0,3,2,3,1,0,3,2,3,0,1,0,1,1,2,0,1,4,2,2,0,0,0,0,0,2,2,4,0,0,0,1,2,1,0,0,2,2,2,0,4,4,2,2,0,1,0,4,4,2,1,1,1,0,1,1,0
25,3,0,3,1,1,2,1,1,2,1,1,1,2,4,1,1,0,1,0,1,1,1,2,1,1,2,1,1,0,2,2,4,0,0,2,1,1,1,2,2,1,1,0,2,1,1,2,0,1,1,2,2,2,2,1,0,4,2,1,2,0
26,1,1,1,3,1,1,0,3,1,2,3,2,2,2,2,1,2,1,1,1,1,0,2,2,1,0,1,1,0,2,2,4,0,2,2,2,2,0,2,1,4,2,2,1,4,2,2,2,4,2,2,2,2,1,0,2,1,1,1,1,0
27,1,1,1,0,0,2,2,1,1,0,0,1,1,2,1,2,0,2,0,0,2,0,4,2,0,1,1,1,0,2,2,4,2,0,2,5,2,2,1,1,1,2,1,4,0,1,1,4,1,4,4,1,4,2,2,4,2,2,1,1,0
28,1,4,2,0,2,2,1,0,1,3,1,3,3,1,1,0,2,1,1,4,4,1,1,4,4,1,1,4,2,2,2,4,2,0,2,5,2,2,0,2,0,1,4,2,4,1,4,1,1,1,2,2,1,4,1,4,2,1,1,4,0
29,3,1,1,1,3,2,2,1,0,1,1,1,0,2,1,0,1,0,0,4,2,0,0,2,0,4,1,0,0,2,2,4,2,2,2,5,2,4,1,4,4,4,1,1,4,2,1,1,4,2,0,2,1,4,2,0,1,1,4,2,0
35,1,1,2,1,1,1,1,3,1,1,2,1,1,2,3,1,2,1,2,4,4,4,1,4,1,4,2,1,1,2,2,4,2,0,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,4,2,0,2,1,4,2,2,0
36,1,1,3,3,1,1,0,3,1,2,3,1,2,2,2,1,2,1,1,1,1,0,2,0,1,0,1,1,0,2,2,4,2,0,2,5,2,2,0,4,2,2,1,2,1,1,2,1,2,2,2,2,1,4,1,1,4,2,2,2,0
37,1,1,1,0,0,2,2,1,1,0,0,1,0,2,0,2,0,2,0,0,2,0,4,2,0,1,4,1,0,2,2,4,2,0,2,2,1,4,1,2,2,1,1,2,0,1,2,1,1,1,2,4,2,1,4,1,1,4,1,1,0
38,1,3,2,0,2,2,1,2,1,3,2,3,3,1,1,0,2,1,1,4,4,1,1,4,4,1,1,4,2,2,2,4,0,2,2,5,2,4,4,2,4,2,0,2,1,4,0,0,0,2,2,4,4,4,1,4,0,1,4,1,0
39,3,1,1,1,3,2,2,1,2,1,1,1,0,2,1,0,1,1,0,4,2,0,0,2,0,4,1,0,0,2,2,4,2,0,2,5,1,2,0,2,2,2,2,4,4,2,2,4,2,2,1,1,1,4,1,4,2,1,1,4,0
40,3,1,1,1,0,2,0,1,2,1,1,1,2,1,1,3,3,1,2,0,1,0,0,2,1,1,1,0,0,0,2,4,2,0,2,1,2,1,2,1,2,1,2,2,2,2,2,1,4,1,1,2,2,2,2,0,1,2,2,2,0
41,1,0,0,2,1,1,3,2,0,0,0,1,1,0,3,1,3,3,0,4,0,1,4,0,4,2,2,1,0,2,2,4,0,0,2,5,1,1,0,4,0,1,0,2,0,0,2,0,2,1,1,1,4,1,4,1,4,1,1,1,0
42,1,0,0,2,3,3,3,2,0,1,3,0,1,4,0,1,0,3,2,1,1,4,2,1,4,0,4,1,2,1,2,4,2,0,2,5,4,2,1,1,1,1,1,0,0,1,1,1,0,1,0,2,2,4,1,1,4,0,2,2,0
43,0,3,3,2,2,0,2,1,1,0,0,3,1,1,1,1,3,2,2,0,0,1,1,0,2,2,1,4,2,0,2,4,2,0,2,5,2,0,4,2,2,2,1,1,4,2,2,0,0,2,2,2,2,1,1,0,4,2,1,4,0
44,1,1,0,3,1,1,3,2,3,2,1,3,2,1,0,3,2,1,2,1,1,0,1,1,0,2,1,1,1,0,2,4,2,0,2,5,0,2,2,0,4,1,0,1,1,2,1,1,1,4,2,1,1,1,0,2,2,2,1,1,0
45,1,4,1,3,3,2,1,1,3,2,2,0,1,0,3,2,3,1,1,0,2,2,1,1,4,0,1,1,0,2,2,4,2,2,2,5,1,1,4,2,4,2,0,2,0,0,2,2,0,0,4,2,2,0,2,0,2,2,1,4,0
46,3,0,2,2,3,2,2,2,1,3,1,2,2,1,1,2,0,0,2,4,0,2,4,0,0,0,0,2,0,2,2,4,2,0,2,2,2,1,1,4,2,2,2,1,4,2,2,1,1,0,4,2,2,2,2,4,1,1,1,4,0
47,0,3,2,1,3,2,1,2,2,1,0,2,2,0,0,0,0,1,0,4,2,1,0,1,4,4,1,2,0,2,2,4,0,0,2,1,2,2,2,1,1,0,2,2,2,0,2,4,2,2,2,2,0,2,2,0,0,1,1,0,0
48,3,0,0,2,1,1,2,2,0,1,0,1,2,2,0,2,1,0,4,2,1,0,2,4,1,0,4,4,1,2,2,4,2,0,2,1,4,1,4,2,4,4,1,1,1,1,4,2,2,2,1,1,4,2,4,4,1,0,0,4,0
49,3,3,1,3,3,3,0,1,3,2,0,0,2,0,2,2,0,2,4,4,4,0,0,0,0,2,2,1,4,2,2,4,2,0,2,5,2,2,2,4,2,4,2,0,2,1,1,0,4,0,1,4,2,2,1,1,4,4,2,0,0
50,1,1,3,0,3,2,2,2,0,3,2,1,1,0,1,1,3,3,1,0,2,1,1,4,1,4,2,1,0,2,2,4,0,2,2,5,4,1,1,4,2,4,1,4,2,2,2,1,4,4,1,4,2,2,2,1,0,2,4,4,0
52,3,0,0,1,0,1,3,2,1,0,3,0,2,0,0,0,3,2,0,0,4,0,4,2,2,0,0,4,0,2,2,4,2,0,2,0,4,0,4,4,4,4,2,4,2,4,4,4,4,4,1,4,4,2,4,1,4,4,4,4,0
53,0,4,2,3,0,1,3,2,1,0,2,0,2,0,3,0,0,2,4,4,4,0,2,1,4,2,0,1,1,4,2,4,0,0,2,5,4,4,4,2,1,4,4,0,4,0,4,0,0,0,4,2,4,0,1,4,4,4,0,0,0
54,3,0,0,1,0,2,3,1,3,3,1,0,2,2,2,3,2,3,4,4,0,2,0,0,0,0,1,1,0,2,2,4,2,0,2,5,2,0,0,4,0,0,4,4,4,4,0,0,0,0,0,0,2,1,0,4,4,2,4,2,0
55,4,3,0,0,2,0,0,2,0,1,0,2,2,2,0,2,0,1,0,4,4,1,0,4,2,0,0,1,0,0,2,4,0,0,2,2,0,4,1,1,0,2,4,4,4,0,0,0,2,2,4,0,2,0,4,2,1,0,0,0,0
56,3,0,0,0,0,3,2,1,0,2,3,3,2,0,0,3,2,1,4,4,1,1,0,0,0,1,0,0,0,2,2,4,0,4,1,0,4,0,4,4,4,2,1,2,4,2,2,0,4,0,4,1,4,2,0,0,1,1,0,2,0
57,0,0,0,3,3,3,3,2,2,2,0,1,1,1,2,0,0,1,4,4,4,1,1,0,0,2,1,1,0,4,2,4,0,0,2,5,4,1,0,0,2,4,4,1,4,0,4,1,4,0,2,2,2,0,0,2,0,2,2,2,0
58,3,3,0,2,0,3,2,3,2,1,3,2,2,0,3,3,2,3,1,4,2,1,0,2,2,0,4,2,2,2,2,4,2,0,2,2,0,2,4,1,4,4,2,1,4,4,1,4,4,0,0,0,0,4,0,2,0,0,2,0,0
59,4,4,1,0,2,2,2,2,0,0,0,0,0,0,0,3,0,3,1,4,4,1,4,4,2,2,1,0,0,2,2,4,0,0,1,0,1,0,1,4,1,4,2,4,0,0,0,4,2,1,0,4,2,4,4,1,0,4,2,1,0
60,3,0,0,0,0,1,1,1,3,1,3,3,2,0,0,3,2,1,1,0,0,2,0,4,0,0,0,2,2,0,2,4,0,0,2,5,4,2,1,4,1,4,0,2,0,0,4,4,4,4,0,2,2,2,2,0,2,4,0,4,0
61,3,0,0,0,1,3,0,2,2,0,2,0,0,4,0,3,3,0,1,4,4,0,1,0,0,0,0,4,2,1,2,4,0,4,2,5,4,4,4,4,2,4,0,0,0,1,0,2,4,0,4,4,4,4,4,0,2,4,2,0,0
62,3,0,1,0,0,0,1,3,0,3,3,2,2,1,1,3,2,3,2,2,1,2,0,2,2,2,0,2,1,2,2,4,2,0,2,5,2,4,1,4,2,1,4,4,2,2,4,4,4,2,2,4,1,1,1,0,4,1,4,1,0
63,3,3,2,3,2,3,0,2,1,2,1,3,2,1,0,0,0,1,2,0,4,2,0,0,2,1,0,0,2,0,2,4,0,0,2,0,0,0,1,4,2,4,4,0,1,4,4,2,1,4,0,2,1,0,4,2,2,0,0,0,0
64,1,0,2,2,0,0,1,0,2,2,0,0,2,4,1,3,2,1,4,4,4,2,1,4,2,0,0,2,0,2,2,4,0,1,0,5,2,1,0,2,1,4,1,0,4,4,4,1,0,4,0,1,4,1,0,0,0,0,4,0,0
65,3,4,2,1,3,2,1,3,3,3,2,2,2,0,2,3,3,3,0,0,0,4,4,0,1,4,4,1,0,2,2,4,0,0,1,0,0,0,0,1,0,4,4,1,0,2,0,1,0,0,2,1,1,4,2,0,0,4,0,1,0
66,3,1,1,1,1,2,2,1,2,1,1,1,0,1,1,1,2,1,0,1,1,1,1,4,1,1,1,1,0,2,2,4,1,0,2,5,2,1,2,4,2,1,1,1,2,1,2,1,2,4,2,4,1,4,2,2,2,2,2,2,0
67,0,1,2,2,1,3,1,1,1,2,2,2,0,1,1,3,1,2,2,1,0,2,2,0,4,2,2,0,0,2,2,4,0,4,2,0,2,1,1,4,1,1,4,1,4,1,1,4,4,4,4,2,1,1,1,0,4,4,2,1,0
68,4,3,0,0,2,0,0,0,0,1,1,0,0,2,0,3,1,0,4,1,4,4,4,2,4,2,2,4,2,2,2,4,2,0,2,5,4,2,1,2,2,2,1,0,2,2,1,2,2,2,4,2,2,4,2,1,0,2,1,0,0
69,0,4,1,0,3,2,2,0,2,0,0,2,2,2,2,1,0,2,1,4,2,2,4,4,1,1,0,1,4,2,2,4,2,0,2,5,2,2,2,1,1,1,4,2,2,4,2,2,2,2,4,2,0,2,0,2,2,1,0,2,0
70,3,4,2,1,0,2,1,0,0,2,2,0,2,0,0,2,0,2,4,4,4,2,0,2,1,2,0,1,2,2,2,4,0,0,2,2,1,0,1,4,2,0,1,1,1,0,0,2,4,2,2,2,2,0,4,1,1,4,2,2,0
71,4,4,1,3,0,3,2,0,2,0,0,0,1,2,3,2,2,1,0,4,4,2,4,2,1,2,1,0,0,2,2,4,2,2,2,1,1,1,1,2,1,2,2,2,0,1,2,2,2,2,1,0,2,1,4,1,1,2,2,2,0
72,0,4,3,1,1,0,2,2,2,2,3,2,3,2,3,3,3,1,2,4,1,2,0,2,0,4,2,1,0,1,2,4,0,0,2,0,0,0,4,1,1,0,4,4,4,4,4,1,4,0,4,4,2,4,4,1,0,0,1,4,0
73,0,3,0,3,3,3,2,2,2,0,2,0,0,2,0,0,0,0,4,4,4,1,0,0,0,2,1,1,4,4,2,4,0,0,2,5,4,0,0,0,0,4,0,4,4,2,0,4,2,0,0,4,1,0,0,0,4,4,4,0,0
74,3,0,2,3,1,0,2,1,3,2,0,0,0,0,3,3,2,3,2,0,1,0,0,0,4,1,0,1,4,4,2,4,0,0,2,5,0,1,0,4,4,1,4,0,0,4,4,2,4,2,2,0,2,0,4,4,1,4,4,4,0
75,4,1,0,3,2,0,1,0,0,3,2,0,0,2,0,2,0,1,0,4,4,4,4,4,2,0,0,0,0,0,2,4,0,0,2,5,0,0,4,1,0,2,0,4,2,4,4,4,0,4,0,2,4,4,1,0,0,0,0,4,0
76,3,1,3,2,0,3,0,0,0,2,1,3,2,1,1,3,2,1,1,4,2,4,4,2,1,1,0,0,0,2,2,4,0,4,5,0,4,2,1,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,2,0,2,4,0
77,0,0,0,0,3,3,3,2,2,0,2,0,0,0,2,0,2,1,4,4,4,1,0,0,0,2,1,0,4,2,2,4,0,0,0,5,0,1,4,4,4,4,0,0,0,1,0,4,0,2,4,4,2,2,1,0,4,1,4,4,0
78,3,3,0,2,0,3,1,3,2,1,3,3,2,0,0,3,2,3,2,1,4,2,0,4,2,0,1,0,2,2,2,4,0,0,0,2,0,2,4,1,2,4,1,2,0,4,0,4,2,1,4,4,4,4,4,2,2,4,0,2,0
79,4,3,1,3,2,0,2,2,1,0,0,0,2,2,0,3,2,3,1,4,4,1,1,4,2,2,2,1,0,4,2,4,0,0,2,5,0,2,0,4,0,0,2,0,0,0,4,4,0,4,4,1,4,4,4,4,0,4,0,2,0
80,3,1,0,2,0,3,1,1,3,1,0,3,2,0,0,3,2,1,4,0,4,2,1,1,0,0,0,2,4,2,2,4,0,2,2,5,4,4,0,4,4,2,4,4,2,2,0,0,0,0,0,0,0,4,2,4,0,2,4,4,0
81,3,1,0,2,1,3,3,2,2,0,2,0,2,4,0,1,0,0,0,4,4,1,1,0,2,0,0,4,2,1,2,4,0,0,2,5,0,0,4,4,4,4,4,0,4,4,2,0,1,4,2,0,4,4,4,4,4,4,4,4,0
82,3,1,0,0,0,0,0,2,0,0,3,2,1,1,1,3,2,3,2,1,0,2,0,0,2,0,1,4,0,4,2,4,2,0,2,5,1,4,4,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,4,4,0,0,0
83,4,3,0,2,0,0,2,2,0,2,0,2,0,1,0,0,0,3,1,0,0,2,0,0,0,1,0,0,0,1,2,4,2,0,2,2,0,2,4,0,4,4,4,1,0,4,4,0,1,4,2,1,0,4,2,4,2,4,4,4,0
84,3,0,1,2,0,3,0,0,2,2,0,2,0,1,1,3,2,1,4,4,4,2,1,1,2,0,2,2,0,2,2,4,0,1,5,0,1,0,2,4,4,1,4,1,4,4,1,0,4,4,4,4,0,0,4,0,4,2,4,1,0
85,1,4,3,0,3,0,0,1,0,3,1,0,1,0,3,3,3,0,0,0,0,2,1,0,4,1,4,1,0,2,2,4,0,0,1,5,0,4,0,4,4,4,4,2,0,0,4,4,4,4,4,4,0,0,0,0,0,0,2,4,0
87,3,3,1,3,0,1,0,2,1,3,1,3,1,1,1,3,2,2,2,1,0,4,1,0,4,1,1,1,0,2,2,4,0,0,5,2,0,2,2,1,4,1,1,1,1,0,2,1,1,4,2,1,1,1,4,0,1,0,1,0,0
88,1,1,0,0,2,0,0,1,1,3,1,0,3,1,0,3,2,3,4,1,1,4,2,2,2,4,2,0,1,2,2,4,2,0,2,5,2,0,2,1,1,0,2,1,1,4,4,1,1,0,2,1,1,1,1,2,1,0,2,1,0
89,3,0,1,1,2,1,3,3,1,1,1,2,3,0,1,2,3,2,2,1,4,1,4,2,4,1,1,0,0,2,2,4,0,0,2,5,2,1,4,2,2,2,1,4,0,1,1,4,4,0,2,0,2,4,1,1,4,1,1,0,0
90,4,1,3,1,1,2,3,2,2,3,2,0,0,4,1,2,2,2,1,1,0,0,2,0,0,0,2,1,0,2,2,4,2,2,0,2,1,4,2,2,2,2,1,1,1,2,2,1,4,2,4,2,2,2,2,4,1,0,2,2,0
91,0,1,2,1,0,2,1,3,1,0,3,1,3,1,1,0,0,1,0,4,2,2,0,1,0,4,4,2,0,4,2,4,2,1,2,0,1,1,1,1,1,2,2,2,1,1,0,0,2,2,2,4,2,2,2,2,1,4,2,2,0
92,1,4,2,2,3,2,1,0,2,2,0,0,3,2,2,1,3,2,2,1,2,0,0,2,1,0,1,1,0,2,2,4,2,0,5,2,2,2,2,2,1,4,2,2,4,2,2,2,4,2,4,2,1,4,2,2,2,1,0,1,0
93,1,1,1,3,2,2,0,1,1,1,2,3,1,4,2,3,2,0,1,1,1,0,4,1,4,1,0,4,2,2,2,4,0,0,5,2,0,1,1,1,1,1,4,4,1,1,4,2,1,1,1,4,2,2,1,0,4,1,1,4,0
94,0,1,1,1,1,1,2,1,2,2,1,3,3,1,3,3,1,1,4,1,4,4,1,2,4,2,2,0,2,2,2,4,2,1,2,5,2,2,4,2,2,1,1,1,4,2,2,2,0,2,4,2,2,2,2,2,2,4,4,2,0
95,3,1,3,0,1,1,1,1,1,3,2,1,2,0,2,2,2,0,2,1,4,1,1,0,4,1,4,4,1,2,2,4,0,2,2,1,1,4,2,2,2,2,0,4,2,0,2,4,2,2,1,0,2,2,4,2,1,4,2,1,0
96,1,1,1,2,2,1,1,2,2,0,3,2,3,4,0,1,2,2,0,2,0,2,1,2,0,2,0,2,1,2,2,4,2,0,2,5,2,1,1,2,4,2,2,2,2,4,2,2,1,1,4,2,0,2,2,2,2,2,0,1,0
97,3,3,1,3,0,1,0,2,1,3,1,3,1,1,1,3,2,2,2,1,2,4,1,0,4,1,1,1,0,2,2,4,0,0,5,2,0,2,2,1,4,1,1,1,1,0,0,2,1,4,2,4,4,1,1,0,1,0,1,0,0
98,1,1,0,0,2,0,0,1,1,3,1,0,3,1,1,3,1,3,4,1,1,4,2,2,2,1,2,0,4,2,2,4,2,0,2,5,2,0,2,1,0,0,2,2,1,1,4,2,4,1,1,0,2,1,1,1,1,2,4,0,0
99,3,0,1,1,2,1,3,3,1,1,1,0,3,0,1,1,3,2,2,1,4,1,4,2,4,1,1,0,0,2,2,4,0,0,2,2,2,1,4,2,2,2,1,1,0,1,1,4,1,0,2,0,2,4,1,1,4,1,1,0,0
100,4,1,3,1,1,2,3,2,0,3,2,0,0,1,1,2,2,2,1,1,0,0,2,1,0,0,2,1,0,2,2,4,2,0,2,1,4,2,2,2,2,1,1,1,2,1,4,2,4,2,2,2,2,4,1,0,2,2,0,1,0
101,0,1,3,1,0,2,1,3,1,0,3,1,3,1,1,0,0,1,0,4,2,2,0,1,0,4,4,2,0,1,2,4,2,1,2,0,1,1,1,1,1,2,2,2,1,1,0,0,2,2,2,1,4,2,2,2,2,1,4,2,0
102,1,4,2,2,3,2,1,0,2,2,0,0,3,2,2,1,3,2,2,1,0,0,0,2,1,0,1,1,0,2,2,4,2,0,5,2,2,2,2,2,1,4,2,2,4,2,2,2,4,2,4,2,2,2,0,2,2,1,0,1,0
103,1,1,1,3,2,2,0,1,1,0,2,3,1,4,2,3,2,0,1,1,1,0,4,1,4,1,0,4,2,2,2,4,0,0,5,2,0,1,1,1,1,1,4,4,1,1,4,2,1,1,1,4,2,2,1,0,4,4,1,1,0
104,0,1,1,1,1,1,2,1,2,2,1,3,3,1,3,0,1,1,4,1,4,4,4,2,4,2,2,0,2,2,2,4,2,1,2,5,2,2,4,2,2,1,1,1,1,4,2,2,2,2,0,2,4,2,2,0,2,2,0,0,0
105,3,1,3,0,1,0,1,1,3,3,2,1,2,0,2,2,2,0,2,1,4,1,1,0,4,1,4,4,1,2,2,4,0,2,2,1,1,4,2,2,2,2,0,2,0,2,4,2,2,1,0,2,2,4,2,1,4,2,1,4,0
106,4,3,1,2,0,1,1,0,2,0,1,2,3,2,0,0,3,2,0,2,0,2,1,2,0,2,0,2,1,2,2,4,2,0,2,5,2,0,2,2,1,4,2,0,0,4,2,2,1,1,1,2,4,2,1,0,2,2,2,2,0
107,1,0,1,0,1,0,2,2,2,1,0,1,1,1,1,1,3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
108,3,3,1,3,0,1,0,2,1,3,1,3,1,1,1,3,2,2,2,1,0,4,1,0,4,1,1,1,0,2,2,4,0,0,5,2,0,2,2,1,4,1,1,1,1,2,0,2,1,4,2,1,1,1,1,4,0,1,0,1,0
109,1,1,0,0,2,0,0,1,1,3,1,0,3,1,0,3,1,3,4,1,1,4,2,2,2,1,2,0,4,2,2,4,2,0,2,5,2,0,2,1,1,0,2,2,1,1,4,4,1,1,0,2,1,1,1,4,2,1,0,2,0
110,3,0,1,1,2,1,3,3,1,1,1,0,3,0,3,2,3,2,2,1,4,1,4,2,4,1,1,0,0,2,2,4,0,0,2,5,2,1,4,2,2,2,1,4,0,1,1,4,4,0,2,0,2,4,1,1,4,1,1,0,0
111,4,1,3,1,1,2,3,2,0,3,2,0,0,4,1,2,2,2,1,1,0,0,2,0,0,0,2,1,0,2,2,4,2,0,2,1,4,2,2,2,2,1,1,1,2,1,4,2,1,4,2,2,2,4,1,0,1,2,2,1,0
112,0,1,2,1,0,2,1,3,1,0,3,1,3,1,1,0,0,1,0,4,2,2,0,1,0,4,4,2,0,1,2,4,2,1,2,0,1,1,1,1,1,0,2,2,0,1,1,0,0,2,2,2,1,4,2,2,2,2,1,4,0
113,1,4,2,2,3,2,1,0,2,2,0,0,3,2,2,1,3,2,2,1,2,0,0,2,1,2,1,1,0,2,2,4,2,0,5,2,2,2,2,2,1,4,2,2,1,2,2,2,4,2,1,0,2,2,2,2,2,1,0,1,0
114,1,1,1,3,2,2,0,1,1,1,2,3,1,4,2,3,2,0,1,1,1,0,4,1,4,1,0,4,2,2,2,4,0,0,5,2,0,1,1,1,1,1,4,4,1,1,4,2,1,1,1,4,2,2,1,0,4,1,1,1,0
